Age	ReadScore	x2	Age14	Age14x2	Predicted
5	9	0	-9	0	11.4569
5	12	0	-9	0	11.4569
5	17	0	-9	0	11.4569
5	20	0	-9	0	11.4569
6	4	0	-8	0	12.0853
6	9	0	-8	0	12.0853
6	14	0	-8	0	12.0853
6	20	0	-8	0	12.0853
7	4	0	-7	0	12.7137
7	5	0	-7	0	12.7137
8	1	0	-6	0	13.3422
8	4	0	-6	0	13.3422
8	7	0	-6	0	13.3422
8	12	0	-6	0	13.3422
8	17	0	-6	0	13.3422
9	9	0	-5	0	13.9706
9	12	0	-5	0	13.9706
9	14	0	-5	0	13.9706
9	17	0	-5	0	13.9706
9	25	0	-5	0	13.9706
10	9	0	-4	0	14.5990
10	12	0	-4	0	14.5990
10	14	0	-4	0	14.5990
10	17	0	-4	0	14.5990
10	20	0	-4	0	14.5990
10	22	0	-4	0	14.5990
10	25	0	-4	0	14.5990
10	27	0	-4	0	14.5990
11	17	0	-3	0	15.2275
11	20	0	-3	0	15.2275
11	33	0	-3	0	15.2275
12	4	0	-2	0	15.8559
12	6	0	-2	0	15.8559
12	7	0	-2	0	15.8559
12	9	0	-2	0	15.8559
12	14	0	-2	0	15.8559
12	17	0	-2	0	15.8559
12	20	0	-2	0	15.8559
12	33	0	-2	0	15.8559
13	0	0	-1	0	16.4843
13	4	0	-1	0	16.4843
13	11	0	-1	0	16.4843
13	12	0	-1	0	16.4843
13	17	0	-1	0	16.4843
13	20	0	-1	0	16.4843
13	30	0	-1	0	16.4843
14	4	0	0	0	17.1128
14	6	0	0	0	17.1128
14	12	0	0	0	17.1128
14	13	0	0	0	17.1128
14	18	0	0	0	17.1128
14	20	0	0	0	17.1128
14	22	0	0	0	17.1128
14	25	0	0	0	17.1128
14	27	0	0	0	17.1128
14	33	0	0	0	17.1128
15	29	1	1	1	34.5956
15	42	1	1	1	34.5956
16	25	1	2	2	37.1279
16	30	1	2	2	37.1279
16	32	1	2	2	37.1279
16	33	1	2	2	37.1279
16	36	1	2	2	37.1279
16	45	1	2	2	37.1279
16	47	1	2	2	37.1279
16	49	1	2	2	37.1279
16	62	1	2	2	37.1279
17	26	1	3	3	39.6601
17	29	1	3	3	39.6601
17	30	1	3	3	39.6601
17	32	1	3	3	39.6601
17	34	1	3	3	39.6601
17	39	1	3	3	39.6601
17	42	1	3	3	39.6601
17	44	1	3	3	39.6601
17	47	1	3	3	39.6601
17	52	1	3	3	39.6601
17	55	1	3	3	39.6601
18	24	1	4	4	42.1923
18	30	1	4	4	42.1923
18	31	1	4	4	42.1923
18	33	1	4	4	42.1923
18	35	1	4	4	42.1923
18	40	1	4	4	42.1923
18	44	1	4	4	42.1923
18	45	1	4	4	42.1923
18	51	1	4	4	42.1923
19	30	1	5	5	44.7245
19	36	1	5	5	44.7245
19	39	1	5	5	44.7245
19	41	1	5	5	44.7245
19	44	1	5	5	44.7245
19	45	1	5	5	44.7245
19	49	1	5	5	44.7245
19	52	1	5	5	44.7245
19	54	1	5	5	44.7245
19	57	1	5	5	44.7245
20	37	1	6	6	47.2567
20	44	1	6	6	47.2567
20	46	1	6	6	47.2567
20	48	1	6	6	47.2567
20	53	1	6	6	47.2567
20	58	1	6	6	47.2567
20	64	1	6	6	47.2567
21	38	1	7	7	49.7889
21	41	1	7	7	49.7889
21	43	1	7	7	49.7889
21	45	1	7	7	49.7889
21	46	1	7	7	49.7889
21	48	1	7	7	49.7889
21	51	1	7	7	49.7889
21	54	1	7	7	49.7889
21	56	1	7	7	49.7889
21	59	1	7	7	49.7889
21	65	1	7	7	49.7889
21	67	1	7	7	49.7889
22	39	1	8	8	52.3211
22	44	1	8	8	52.3211
22	47	1	8	8	52.3211
22	49	1	8	8	52.3211
22	52	1	8	8	52.3211
22	55	1	8	8	52.3211
22	57	1	8	8	52.3211
22	60	1	8	8	52.3211
22	63	1	8	8	52.3211
23	43	1	9	9	54.8534
23	45	1	9	9	54.8534
23	58	1	9	9	54.8534
23	59	1	9	9	54.8534
23	66	1	9	9	54.8534
